MC_Stationary,TD_Stationary,MC_Shift,TD_Shift
-356.18101989360997,-391.5377687415599,-588.8596746701958,-284.1196017052183
-1091.1948713911354,-322.66659856145384,-285.00498282217245,-177.93087681852109
-366.8238928713936,-282.3763105805525,-182.51695894443003,-231.11602934342653
-356.13119267617003,-348.2878236509584,-215.73031602896316,-252.39133319539226
-392.8388504124889,-216.46059714991904,-178.97553276061993,-220.31192890046765
-367.7291405036968,-291.2542004864011,-276.62319264174425,-201.92879452016456
-1083.7895002738014,-233.84102809092008,-263.5648878856703,-211.58016738642624
-1427.7823769940912,-179.21239742144695,-319.5629119186916,-191.8392178638767
-280.7865712730106,-215.97998218709753,-261.67096004791415,-220.7523824989318
-255.82312280289415,-152.22186795822122,-1385.5796598309198,-165.71015492435453
-1227.7413832935151,-241.3718439184628,-236.3263564014499,-150.23958533495198
-533.5343157820056,-208.70125667921684,-835.1272774730942,-193.67490647831622
-1445.385691352027,-145.6923947638116,-252.32949916487414,-161.1432338431729
-359.5716393665535,-199.4208031200488,-239.68334246137485,-135.5915480375849
-330.5573022139017,-233.58834260341865,-697.0268989228503,-120.08602446405527
-874.6046870723915,-152.5996250626999,-363.47447269221175,-212.44734035581666
-269.38951718952745,-181.21416767938305,-609.8392471312135,-148.27416767672963
-548.1270482974328,-189.72443915330382,-285.3454874360031,-306.6532164985617
-336.7799919122941,-223.22825510510359,-250.9755378712747,-158.01305900260172
-1339.5398940583839,-180.7874766853524,-235.79758417503396,-287.65530738124227
-272.06254158320746,-249.71954679026547,-271.6255069961584,-159.45472799532155
-289.51287402799153,-168.62753200085638,-270.780393365115,-171.08706021686515
-210.90349527775538,-175.15836472646933,-254.27811596879474,-186.00542744233027
-189.60615065130997,-165.49476446480298,-225.65375703507584,-178.99368235407107
-717.9033839474985,-121.02479233574931,-215.64668936249348,-253.59120658385206
-241.54537953360978,-136.81498286686787,-251.58502460013298,-119.96927056984893
-241.3760905701827,-153.7537297866239,-266.6519904406532,-210.8889875093937
-199.5981289568585,-179.9907343304459,-275.3476822603878,-167.37870823507694
-177.91477301816377,-211.10226757554318,-324.8750490448058,-172.79996940991475
-187.52562941367285,-195.70831367114414,-225.89465556179417,-129.55089446128324
-222.7718955122259,-125.18688128631433,-245.4234342716647,-179.29060271272118
-264.96518459787353,-190.24150049037024,-251.78153556022707,-185.7277273271344
-229.70964847363283,-130.2565808117646,-254.17972164725688,-170.39309804152128
-211.42975330340875,-233.80262916502124,-268.67233869569066,-176.71726531960988
-301.89714958249084,-212.9972741708473,-239.76502619649725,-226.61862154443455
-282.4994171014691,-237.21270228836607,-219.40286714030844,-184.16816839902185
-286.3026113634909,-186.45071529695366,-236.36274423419638,-153.44584939520584
-162.01687850172326,-272.05919671055136,-294.1443941230141,-199.75668271408853
-251.51798925420448,-136.03249767365054,-283.7237223330944,-175.664314261206
-195.1478570766322,-231.88574495692515,-244.3160460505386,-264.8238528151847
-221.62750087470465,-214.97695859633316,-201.1585464378033,-197.58040341884725
-219.8867422858493,-132.0630416266934,-257.8431029654451,-221.98991663740688
-204.26284484918435,-206.75106866132282,-274.70506737210246,-156.0251239977507
-241.72298438825425,-281.30231265652054,-289.4245145237902,-163.70775001379155
-211.82435099235303,-191.74747971740254,-227.53465807703202,-205.37755977791414
-278.19086390027815,-294.810325766873,-345.4031538809512,-166.58284052729562
-190.36513552279632,-151.28788418167983,-261.19323431727537,-196.0533917657792
-164.64245411752282,-173.1951390279135,-291.60087610045423,-141.54504290973733
-220.5820162222905,-130.9993818963979,-269.9690628094283,-231.80875853794765
-191.66494938708482,-207.97812026186648,-237.05510954563334,-150.53117274317728
-222.16690665532707,-171.13141210856384,-277.2891873023244,-198.03513820897143
-202.95849983175657,-170.01453116424557,-240.00957784981284,-230.6846498486229
-226.99038191069195,-260.6771463941475,-289.6247626165148,-308.01463415735236
-218.31376864216207,-220.37748051246012,-259.650105511511,-265.357486241345
-208.29309666972077,-137.90326293562427,-244.00233452948686,-153.94454378434355
-241.07541608385944,-194.39680135639156,-261.49431273047077,-176.26642381785769
-209.1908067711205,-224.1107211661668,-282.1160467210782,-262.9647689819518
-192.25906393102608,-168.40382374778164,-237.641574357107,-215.2704300347944
-219.2130875482195,-149.15548886121255,-276.61613871678594,-226.214444902594
